SETTLEMENT_DATE,NATURAL_GAS_PRICE
2023-04-21,33.418000000000006
2023-04-22,33.696999999999996
2023-04-23,33.897000000000006
2023-04-24,33.062
2023-04-25,32.82
2023-04-26,31.606
2023-04-27,31.993000000000002
2023-04-28,30.994999999999997
2023-04-29,30.430000000000003
2023-04-30,29.564
2023-05-01,30.494
2023-05-02,30.453
2023-05-03,28.993000000000002
2023-05-04,28.281999999999996
2023-05-05,28.455000000000002
2023-05-06,30.240999999999996
2023-05-07,29.153
2023-05-08,30.113
2023-05-09,30.073
2023-05-10,28.513000000000005
2023-05-11,28.310000000000002
2023-05-12,27.027
2023-05-13,27.061999999999998
2023-05-14,26.570999999999998
2023-05-15,24.804
2023-05-16,25.115
2023-05-17,24.362
2023-05-18,22.631
2023-05-19,21.833000000000002
2023-05-20,22.81
2023-05-21,21.997
2023-05-22,22.011
2023-05-23,22.949
2023-05-24,22.564
2023-05-25,21.022
2023-05-26,19.887999999999998
2023-05-27,21.339
2023-05-28,20.910999999999998
2023-05-29,20.942
2023-05-30,20.764000000000003
2023-05-31,21.66
2023-06-01,20.401
2023-06-02,19.442
2023-06-03,19.227
2023-06-04,20.09
2023-06-05,23.043
2023-06-06,22.804000000000002
2023-06-07,22.317
2023-06-08,22.173
2023-06-09,25.993
2023-06-10,27.737
2023-06-11,28.773
2023-06-12,27.726
2023-06-13,28.777
2023-06-14,32.257
2023-06-15,35.06400000000001
2023-06-16,29.587
2023-06-17,29.445000000000004
2023-06-18,29.119000000000003
2023-06-19,29.27
2023-06-20,32.599999999999994
2023-06-21,32.578
2023-06-22,29.916999999999998
2023-06-23,28.461
2023-06-24,29.502
2023-06-25,29.94
2023-06-26,29.258000000000003
2023-06-27,29.165999999999997
2023-06-28,28.980000000000004
2023-06-29,28.786
2023-06-30,30.051000000000002
2023-07-01,32.51
2023-07-02,32.729
2023-07-03,30.712000000000003
2023-07-04,29.29
2023-07-05,28.747999999999998
2023-07-06,26.464
2023-07-07,27.218
2023-07-08,27.663000000000004
2023-07-09,27.940999999999995
2023-07-10,26.142
2023-07-11,24.927999999999997
2023-07-12,22.734
2023-07-13,21.875000000000004
2023-07-14,21.787999999999997
2023-07-15,20.175
2023-07-16,19.735
2023-07-17,20.301
2023-07-18,22.726000000000003
2023-07-19,23.115999999999996
2023-07-20,23.818
2023-07-21,24.349
2023-07-22,23.858999999999998
2023-07-23,22.955
2023-07-24,24.476000000000003
2023-07-25,27.308
2023-07-26,25.213000000000005
2023-07-27,23.802
2023-07-28,21.854000000000003
2023-07-29,20.573
2023-07-30,20.454
2023-07-31,21.052
2023-08-01,22.660999999999998
2023-08-02,23.285999999999998
2023-08-03,25.563
2023-08-04,24.855
2023-08-05,24.197000000000003
2023-08-06,24.008
2023-08-07,24.033
2023-08-08,24.525000000000002
2023-08-09,29.852
2023-08-10,29.459
2023-08-11,27.892
2023-08-12,27.947000000000003
2023-08-13,29.078
2023-08-14,28.159
2023-08-15,30.605000000000004
2023-08-16,30.186999999999998
2023-08-17,28.874
2023-08-18,29.167
2023-08-19,30.703
2023-08-20,33.067
2023-08-21,33.353
2023-08-22,36.002
2023-08-23,32.802
2023-08-24,28.656000000000002
2023-08-25,28.887999999999998
2023-08-26,29.721
2023-08-27,29.199
2023-08-28,31.787000000000003
2023-08-29,31.241
2023-08-30,30.792000000000005
2023-08-31,29.442
2023-09-01,30.157
2023-09-02,30.688
2023-09-03,30.491
2023-09-04,28.197
2023-09-05,27.611
2023-09-06,26.865
2023-09-07,26.797
2023-09-08,28.402
2023-09-09,30.924
2023-09-10,31.562
2023-09-11,31.863999999999997
2023-09-12,30.152
2023-09-13,31.622999999999998
2023-09-14,31.582
2023-09-15,31.733999999999998
2023-09-16,32.499
2023-09-17,32.215
2023-09-18,30.381999999999998
2023-09-19,31.977999999999998
2023-09-20,32.031000000000006
2023-09-21,33.24
2023-09-22,34.909000000000006
2023-09-23,34.761
2023-09-24,34.71000000000001
2023-09-25,35.758
2023-09-26,33.762
2023-09-27,34.8
2023-09-28,34.764
2023-09-29,33.626999999999995
2023-09-30,33.641000000000005
2023-10-01,33.464
2023-10-02,29.765000000000004
2023-10-03,25.349
2023-10-04,25.818
2023-10-05,23.020000000000003
2023-10-06,27.031
2023-10-07,28.659
2023-10-08,29.87
2023-10-09,31.121
2023-10-10,36.963
2023-10-11,38.806
2023-10-12,41.613
2023-10-13,45.498000000000005
2023-10-14,45.149
2023-10-15,45.68
2023-10-16,42.428
2023-10-17,36.429
2023-10-18,37.466
2023-10-19,35.793
2023-10-20,37.6
2023-10-21,39.143
2023-10-22,40.656
2023-10-23,41.938
2023-10-24,40.928000000000004
2023-10-25,41.416000000000004
2023-10-26,40.918000000000006
2023-10-27,41.125
2023-10-28,43.452000000000005
2023-10-29,43.687
2023-10-30,43.46
2023-10-31,39.121
2023-11-01,32.298
2023-11-02,34.096000000000004
2023-11-03,34.636
2023-11-04,36.952
2023-11-05,35.632999999999996
2023-11-06,35.255
2023-11-07,35.615
2023-11-08,35.825
2023-11-09,35.68000000000001
2023-11-10,35.727000000000004
2023-11-11,35.302
2023-11-12,33.53
2023-11-13,32.667
2023-11-14,33.906
2023-11-15,36.165
2023-11-16,35.951
2023-11-17,35.692
